f,imp,feature_name
f0,7679.0,location_count
f1,,location_1
f2,,location_2
f3,7.0,location_7
f4,1.0,location_9
f5,,location_12
f6,,location_13
f7,,location_16
f8,,location_17
f9,2.0,location_89
f10,,location_91
f11,5.0,location_95
f12,,location_100
f13,13.0,location_102
f14,12.0,location_116
f15,9.0,location_118
f16,,location_122
f17,,location_124
f18,3.0,location_126
f19,,location_128
f20,,location_133
f21,15.0,location_135
f22,,location_139
f23,,location_145
f24,,location_147
f25,3.0,location_149
f26,,location_155
f27,,location_157
f28,,location_159
f29,,location_161
f30,,location_169
f31,,location_181
f32,,location_206
f33,,location_208
f34,3.0,location_240
f35,1.0,location_242
f36,1.0,location_244
f37,,location_255
f38,,location_266
f39,,location_268
f40,,location_270
f41,,location_282
f42,,location_283
f43,,location_288
f44,11.0,location_292
f45,,location_298
f46,20.0,location_300
f47,41.0,location_311
f48,,location_314
f49,,location_318
f50,,location_324
f51,,location_325
f52,,location_326
f53,,location_344
f54,,location_363
f55,,location_373
f56,4.0,location_375
f57,,location_378
f58,,location_380
f59,,location_390
f60,,location_400
f61,2.0,location_445
f62,,location_457
f63,1.0,location_459
f64,114.0,location_460
f65,,location_465
f66,,location_466
f67,,location_467
f68,,location_468
f69,,location_469
f70,,location_470
f71,,location_471
f72,,location_472
f73,,location_473
f74,,location_474
f75,,location_475
f76,,location_476
f77,,location_477
f78,,location_478
f79,,location_479
f80,,location_480
f81,15.0,location_481
f82,,location_484
f83,,location_485
f84,,location_488
f85,,location_489
f86,,location_490
f87,,location_491
f88,,location_493
f89,,location_494
f90,,location_495
f91,,location_496
f92,,location_497
f93,,location_498
f94,,location_499
f95,,location_500
f96,,location_501
f97,,location_504
f98,,location_505
f99,,location_506
f100,,location_507
f101,,location_508
f102,,location_509
f103,,location_518
f104,,location_520
f105,,location_522
f106,,location_584
f107,6.0,location_599
f108,29.0,location_600
f109,,location_601
f110,18.0,location_603
f111,,location_607
f112,,location_609
f113,22.0,location_613
f114,1.0,location_618
f115,,location_619
f116,2.0,location_627
f117,8.0,location_638
f118,,location_641
f119,2.0,location_643
f120,4.0,location_644
f121,,location_645
f122,1.0,location_646
f123,,location_648
f124,24.0,location_653
f125,,location_661
f126,8.0,location_684
f127,,location_690
f128,,location_691
f129,,location_692
f130,9.0,location_696
f131,,location_699
f132,,location_700
f133,16.0,location_704
f134,4.0,location_707
f135,,location_709
f136,20.0,location_714
f137,,location_723
f138,21.0,location_734
f139,,location_735
f140,,location_737
f141,53.0,location_738
f142,18.0,location_742
f143,1.0,location_744
f144,10.0,location_745
f145,,location_755
f146,,location_756
f147,31.0,location_760
f148,12.0,location_763
f149,12.0,location_793
f150,54.0,location_794
f151,,location_795
f152,8.0,location_798
f153,3.0,location_802
f154,21.0,location_803
f155,,location_805
f156,1.0,location_808
f157,,location_809
f158,22.0,location_810
f159,1.0,location_812
f160,1.0,location_814
f161,2.0,location_816
f162,18.0,location_818
f163,36.0,location_821
f164,55.0,location_823
f165,33.0,location_826
f166,1.0,location_830
f167,,location_831
f168,5.0,location_834
f169,,location_836
f170,2.0,location_837
f171,,location_839
f172,1.0,location_845
f173,11.0,location_846
f174,,location_851
f175,24.0,location_856
f176,,location_875
f177,1.0,location_878
f178,1.0,location_881
f179,3.0,location_885
f180,,location_891
f181,5.0,location_892
f182,17.0,location_893
f183,14.0,location_894
f184,70.0,location_895
f185,9.0,location_896
f186,9.0,location_897
f187,2.0,location_899
f188,14.0,location_902
f189,,location_906
f190,,location_909
f191,,location_919
f192,49.0,location_921
f193,27.0,location_925
f194,73.0,location_931
f195,8.0,location_932
f196,,location_938
f197,,location_942
f198,,location_943
f199,2.0,location_944
f200,,location_945
f201,,location_948
f202,3.0,location_957
f203,3.0,location_962
f204,,location_963
f205,20.0,location_976
f206,1.0,location_984
f207,37.0,location_989
f208,69.0,location_995
f209,,location_998
f210,42.0,location_1007
f211,11.0,location_1008
f212,34.0,location_1010
f213,2.0,location_1014
f214,,location_1015
f215,8.0,location_1017
f216,22.0,location_1018
f217,5.0,location_1019
f218,,location_1024
f219,,location_1025
f220,,location_1026
f221,,location_1030
f222,,location_1031
f223,25.0,location_1033
f224,6.0,location_1042
f225,,location_1048
f226,,location_1049
f227,,location_1050
f228,49.0,location_1052
f229,,location_1054
f230,11.0,location_1061
f231,,location_1063
f232,,location_1066
f233,21.0,location_1067
f234,19.0,location_1075
